Authors;Year;Source title;Cited by
Shridhar S., Hassan K., Sullivan D.J., Vasta G.R., Fernandez Robledo J.A.;2013;International Journal for Parasitology: Drugs and Drug Resistance;4
Maxwell S.M., Hazen E.L., Bograd S.J., Halpern B.S., Breed G.A., Nickel B., Teutschel N.M., Crowder L.B., Benson S., Dutton P.H., Bailey H., Kappes M.A., Kuhn C.E., Weise M.J., Mate B., Shaffer S.A., Hassrick J.L., Henry R.W., Irvine L., McDonald B.I., Robinson P.W., Block B.A., Costa D.P.;2013;Nature communications;29
Koszalka I.M., Haine T.W.N., Magaldi M.G.;2013;Journal of Physical Oceanography;3
Scholz S., Sela E., Blaha L., Braunbeck T., Galay-Burgos M., Garcia-Franco M., Guinea J., Kluver N., Schirmer K., Tanneberger K., Tobor-Kaplon M., Witters H., Belanger S., Benfenati E., Creton S., Cronin M.T.D., Eggen R.I.L., Embry M., Ekman D., Gourmelon A., Halder M., Hardy B., Hartung T., Hubesch B., Jungmann D., Lampi M.A., Lee L., Leonard M., Kuster E., Lillicrap A., Luckenbach T., Murk A.J., Navas J.M., Peijnenburg W., Repetto G., Salinas E., Schuurmann G., Spielmann H., Tollefsen K.E., Walter-Rohde S., Whale G., Wheeler J.R., Winter M.J.;2013;Regulatory Toxicology and Pharmacology;17
Pikesley S.K., Maxwell S.M., Pendoley K., Costa D.P., Coyne M.S., Formia A., Godley B.J., Klein W., Makanga-Bahouna J., Maruca S., Ngouessono S., Parnell R.J., Pemo-Makaya E., Witt M.J.;2013;Diversity and Distributions;5
Pujolar J.M., Schiavina M., Di Franco A., Melia P., Guidetti P., Gatto M., De Leo G.A., Zane L.;2013;Diversity and Distributions;4
Kim T.W., Barry J.P., Micheli F.;2013;Biogeosciences;1
O'Leary J.K., Potts D., Schoenrock K.M., McClahanan T.R.;2013;Marine Ecology Progress Series;
Toonen R.J., Wilhelm T.T., Maxwell S.M., Wagner D., Bowen B.W., Sheppard C.R.C., Taei S.M., Teroroko T., Moffitt R., Gaymer C.F., Morgan L., Lewis N., Sheppard A.L.S., Parks J., Friedlander A.M.;2013;Marine Pollution Bulletin;13
Papastamatiou Y.P., Meyer C.G., Carvalho F., Dale J.J., Hutchinson M.R., Holland K.N.;2013;Ecology;16
Whitlock R.E., Walli A., Cermeno P., Rodriguez L.E., Farwell C., Block B.A.;2013;Journal of Experimental Biology;2
Gleiss A.C., Wright S., Liebsch N., Wilson R.P., Norman B.;2013;Marine Biology;5
Jayasundara N., Gardner L.D., Block B.A.;2013;American Journal of Physiology - Regulatory Integrative and Comparative Physiology;2
Wood C.L., Micheli F., Fernandez M., Gelcich S., Castilla J.C., Carvajal J.;2013;Journal of Animal Ecology;7
Dowd W.W., Felton C.A., Heymann H.M., Kost L.E., Somero G.N.;2013;Journal of Experimental Marine Biology and Ecology;4
Stuart-Smith R.D., Bates A.E., Lefcheck J.S., Duffy J.E., Baker S.C., Thomson R.J., Stuart-Smith J.F., Hill N.A., Kininmonth S.J., Airoldi L., Becerro M.A., Campbell S.J., Dawson T.P., Navarrete S.A., Soler G.A., Strain E.M.A., Willis T.J., Edgar G.J.;2013;Nature;39
Stewart J.S., Gilly W.F., Field J.C., Payne J.C.;2013;Deep-Sea Research Part II: Topical Studies in Oceanography;4
O'Dor R., Stewart J., Gilly W., Payne J., Borges T.C., Thys T.;2013;Deep-Sea Research Part II: Topical Studies in Oceanography;6
Stewart J.S., Field J.C., Markaida U., Gilly W.F.;2013;Deep-Sea Research Part II: Topical Studies in Oceanography;17
Field J.C., Elliger C., Baltz K., Gillespie G.E., Gilly W.F., Ruiz-Cooley R.I., Pearse D., Stewart J.S., Matsubu W., Walker W.A.;2013;Deep-Sea Research Part II: Topical Studies in Oceanography;5
Parravicini V., Micheli F., Montefalcone M., Morri C., Villa E., Castellano M., Povero P., Bianchi C.N.;2013;PLoS ONE;7
Incardona J.P., Swarts T.L., Edmunds R.C., Linbo T.L., Aquilina-Beck A., Sloan C.A., Gardner L.D., Block B.A., Scholz N.L.;2013;Aquatic Toxicology;10
Denny M., Mach K., Tepler S., Martone P.;2013;Journal of Experimental Biology;2
Cole B.J., Hamdoun A., Epel D.;2013;Journal of Experimental Biology;7
Pietri D.M., Gurney G.G., Benitez-Vina N., Kuklok A., Maxwell S.M., Whiting L., Vina M.A., Jenkins L.D.;2013;Conservation Biology;
Tolleter D., Seneca F.O., Denofrio J.C., Krediet C.J., Palumbi S.R., Pringle J.R., Grossman A.R.;2013;Current Biology;13
Del Raye G., Jorgensen S.J., Krumhansl K., Ezcurra J.M., Block B.A.;2013;Proceedings. Biological sciences / The Royal Society;4
Lyons K., Carlisle A., Preti A., Mull C., Blasius M., O'Sullivan J., Winkler C., Lowe C.G.;2013;Marine Environmental Research;8
Kittinger J.N., Finkbeiner E.M., Ban N.C., Broad K., Carr M.H., Cinner J.E., Gelcich S., Cornwell M.L., Koehn J.Z., Basurto X., Fujita R., Caldwell M.R., Crowder L.B.;2013;Current Opinion in Environmental Sustainability;10
Clark T.D., Farwell C.J., Rodriguez L.E., Brandt W.T., Block B.A.;2013;Journal of Experimental Biology;3
Feng C., Ghosh A., Amin M.N., Giomarelli B., Shridhar S., Banerjee A., Fernandez-Robledo J.A., Bianchet M.A., Wang L.-X., Wilson I.B.H., Vasta G.R.;2013;Journal of Biological Chemistry;10
Nelson T.C., Doukakis P., Lindley S.T., Schreier A.D., Hightower J.E., Hildebrand L.R., Whitlock R.E., Webb M.A.H.;2013;PLoS ONE;
Tweedy O.V., Limpasuvan V., Orsolini Y.J., Smith A.K., Garcia R.R., Kinnison D., Randall C.E., Kvissel O.-K., Stordal F., Harvey V.L., Chandran A.;2013;Journal of Geophysical Research Atmospheres;3
Raye G.D., Jorgensen S.J., Krumhansl K., Ezcurra J.M., Block B.A.;2013;Proceedings of the Royal Society B: Biological Sciences;1
Menzel S., Kappel C.V., Broitman B.R., Micheli F., Rosenberg A.A.;2013;Aquatic Conservation: Marine and Freshwater Ecosystems;3
Kroeker K.J., Gambi M.C., Micheli F.;2013;Proceedings of the National Academy of Sciences of the United States of America;16
