acquisition_time	studies_id	utm_x	utm_y	sex	gps_positions_animals_id	original_animal_id	animal_year_id
12APR07:09:00:00	5	412063.8733	6582507.58	f	1157516	3358	33580
12APR07:12:00:00	5	411638.2913	6582325.101	f	1157515	3358	33580
12APR07:15:00:00	5	411758.1466	6581337.313	f	1157514	3358	33580
12APR07:18:00:00	5	412778.7983	6579946.248	f	1157513	3358	33580
12APR07:21:00:00	5	411568.7116	6579336.866	f	1157512	3358	33580
13APR07:00:00:00	5	411067.9399	6579663.035	f	1157511	3358	33580
13APR07:03:00:00	5	411554.9525	6579160.911	f	1157510	3358	33580
13APR07:06:00:00	5	412344.3968	6579008.426	f	1157509	3358	33580
13APR07:09:00:00	5	412622.5857	6579145.143	f	1158776	3358	33580
13APR07:12:00:00	5	411446.5415	6578766.836	f	1158775	3358	33580
13APR07:15:00:00	5	411453.5627	6578761.18	f	1158774	3358	33580
13APR07:18:01:00	5	411114.9116	6579259.83	f	1158773	3358	33580
13APR07:21:00:00	5	411456.433	6579804.173	f	1158772	3358	33580
14APR07:00:00:00	5	411967.0742	6579630.151	f	1160592	3358	33580
14APR07:03:00:00	5	412574.5008	6579870.353	f	1160591	3358	33580
14APR07:06:00:00	5	412233.342	6579587.621	f	1160590	3358	33580
14APR07:09:00:00	5	412171.8324	6579653.869	f	1160589	3358	33580
14APR07:12:00:00	5	412020.9934	6579457.48	f	1160588	3358	33580
14APR07:15:00:00	5	411925.3147	6579500.319	f	1164848	3358	33580
14APR07:18:00:00	5	411056.4202	6579461.307	f	1164847	3358	33580
14APR07:21:00:00	5	411105.9512	6579445.106	f	1164846	3358	33580
15APR07:00:00:00	5	410938.936	6579436.386	f	1164845	3358	33580
15APR07:03:00:00	5	410908.0552	6579516.127	f	1164844	3358	33580
15APR07:06:00:00	5	411969.9087	6579003.03	f	1164843	3358	33580
15APR07:09:00:00	5	411740.7025	6579326.103	f	1164842	3358	33580
15APR07:12:00:00	5	412263.797	6579101.994	f	1164841	3358	33580
15APR07:15:00:00	5	412316.26	6579089.639	f	1164840	3358	33580
15APR07:18:00:00	5	410825.4449	6578356.601	f	1164839	3358	33580
15APR07:21:00:00	5	411487.0768	6578780.448	f	1164838	3358	33580
16APR07:00:00:00	5	411347.1602	6578800.563	f	1164837	3358	33580
16APR07:03:00:00	5	411208.5605	6579041.399	f	1164836	3358	33580
16APR07:06:00:00	5	411627.5621	6578689.276	f	1164835	3358	33580
16APR07:09:00:00	5	411387.6929	6578751.781	f	1164834	3358	33580
16APR07:12:00:00	5	411296.8754	6579767.949	f	1168595	3358	33580
16APR07:15:00:00	5	411535.3763	6579832.606	f	1168594	3358	33580
16APR07:18:00:00	5	412032.0364	6580005.542	f	1168593	3358	33580
16APR07:21:00:00	5	412283.5966	6579947.127	f	1168592	3358	33580
17APR07:00:00:00	5	411744.5904	6580073.656	f	1168591	3358	33580
17APR07:03:00:00	5	411297.0457	6579828.167	f	1168590	3358	33580
17APR07:06:00:00	5	411056.9441	6579505.42	f	1168589	3358	33580
17APR07:09:00:00	5	411088.9815	6579299.094	f	1168588	3358	33580
17APR07:12:00:00	5	410248.8425	6579421.898	f	1168587	3358	33580
17APR07:15:00:00	5	410043.5386	6579098.332	f	1168586	3358	33580
17APR07:18:00:00	5	410651.0668	6579285.427	f	1168585	3358	33580
17APR07:21:00:00	5	411426.4052	6579500.86	f	1168584	3358	33580
18APR07:00:00:00	5	411390.2189	6579606.175	f	1168583	3358	33580
18APR07:03:00:00	5	411457.3157	6579752.141	f	1168582	3358	33580
18APR07:06:00:00	5	411845.5397	6579553.875	f	1168581	3358	33580
18APR07:09:00:00	5	411896.1335	6579650.293	f	1169821	3358	33580
18APR07:12:00:00	5	411993.5078	6579602.979	f	1169820	3358	33580
18APR07:15:00:00	5	412075.5122	6579475.831	f	1169819	3358	33580
18APR07:18:00:00	5	412233.3909	6579227.351	f	1169818	3358	33580
18APR07:21:00:00	5	411868.1623	6579000.306	f	1169817	3358	33580
19APR07:00:00:00	5	411689.8634	6578885.876	f	1171136	3358	33580
19APR07:03:00:00	5	411692.3252	6578889.684	f	1171135	3358	33580
19APR07:06:00:00	5	412427.1071	6579183.901	f	1171134	3358	33580
19APR07:09:00:00	5	412695.0923	6579150.667	f	1171133	3358	33580
19APR07:12:00:00	5	412233.3144	6579103.48	f	1171132	3358	33580
19APR07:15:00:00	5	412096.8924	6579074.428	f	1172393	3358	33580
19APR07:18:00:00	5	412144.8438	6579046.168	f	1172392	3358	33580
19APR07:21:00:00	5	411459.8932	6579614.182	f	1172391	3358	33580
20APR07:00:00:00	5	411412.3962	6579713.155	f	1172390	3358	33580
20APR07:03:00:00	5	411408.8871	6579719.776	f	1172389	3358	33580
20APR07:06:00:00	5	411485.3795	6579523.253	f	1173654	3358	33580
20APR07:09:00:00	5	411442.56	6579493.141	f	1173653	3358	33580
20APR07:12:00:00	5	410863.1264	6579656.232	f	1173652	3358	33580
20APR07:15:00:00	5	410668.8818	6579628.158	f	1173651	3358	33580
20APR07:18:00:00	5	410912.3154	6579535.9	f	1173650	3358	33580
20APR07:21:00:00	5	410978.53	6579589.274	f	1174858	3358	33580
21APR07:00:00:00	5	410993.0178	6579584.032	f	1174857	3358	33580
21APR07:03:00:00	5	411986.4122	6579517.513	f	1174856	3358	33580
21APR07:06:00:00	5	412188.5107	6579404.922	f	1174855	3358	33580
21APR07:09:00:00	5	412090.2802	6579423.51	f	1174854	3358	33580
21APR07:12:00:00	5	412146.9772	6578430.494	f	1183445	3358	33580
21APR07:15:00:00	5	416376.9724	6575259.489	f	1183444	3358	33580
21APR07:18:00:00	5	418226.2539	6572083.688	f	1183443	3358	33580
21APR07:21:00:00	5	418218.4956	6571406.012	f	1183442	3358	33580
22APR07:00:00:00	5	418444.0659	6571316.883	f	1183441	3358	33580
22APR07:03:00:00	5	418859.6988	6571276.937	f	1183440	3358	33580
22APR07:06:00:00	5	418921.3756	6571304.08	f	1183439	3358	33580
22APR07:09:00:00	5	418797.5937	6571235.936	f	1183438	3358	33580
22APR07:12:00:00	5	418316.9682	6570956.561	f	1183437	3358	33580
22APR07:15:00:00	5	417902.7894	6570163.334	f	1183436	3358	33580
22APR07:18:00:00	5	418165.6287	6569357.584	f	1183435	3358	33580
22APR07:21:00:00	5	419790.6527	6569525.458	f	1183434	3358	33580
23APR07:00:00:00	5	420351.7099	6569468.379	f	1183433	3358	33580
23APR07:03:00:00	5	419976.3088	6569441.768	f	1183432	3358	33580
23APR07:06:00:00	5	419952.4056	6569924.728	f	1183431	3358	33580
23APR07:09:00:00	5	419840.0424	6569893.936	f	1183430	3358	33580
23APR07:12:00:00	5	420359.8921	6570041.4	f	1183429	3358	33580
23APR07:15:00:00	5	420552.7566	6570017.569	f	1183428	3358	33580
23APR07:18:00:00	5	420877.3952	6569855.03	f	1183427	3358	33580
23APR07:21:00:00	5	420795.883	6570040.373	f	1183426	3358	33580
24APR07:00:00:00	5	420790.7128	6569917.108	f	1183425	3358	33580
24APR07:03:00:00	5	421218.7436	6570134.003	f	1183424	3358	33580
24APR07:06:00:00	5	421099.492	6569315.596	f	1183423	3358	33580
24APR07:09:00:00	5	420403.696	6568487.265	f	1183422	3358	33580
24APR07:12:00:00	5	420187.7249	6568659.142	f	1183421	3358	33580
24APR07:15:00:00	5	420156.9447	6568577.918	f	1183420	3358	33580
24APR07:18:00:00	5	421272.4838	6569461.457	f	1183419	3358	33580
24APR07:21:00:00	5	421868.0917	6569552.121	f	1183418	3358	33580
25APR07:00:00:00	5	421976.8193	6569203.987	f	1183417	3358	33580
25APR07:03:00:00	5	422104.6306	6568798.614	f	1183416	3358	33580
25APR07:06:00:00	5	421691.6533	6568740.823	f	1193715	3358	33580
25APR07:09:00:00	5	421708.5919	6568691.798	f	1193714	3358	33580
25APR07:12:00:00	5	422198.7295	6567801.538	f	1193713	3358	33580
25APR07:15:00:00	5	421351.5303	6566159.234	f	1193712	3358	33580
25APR07:18:00:00	5	420582.452	6566120.194	f	1193711	3358	33580
25APR07:21:00:00	5	420817.6893	6566276.814	f	1193710	3358	33580
26APR07:00:00:00	5	420679.1223	6566290.984	f	1193709	3358	33580
26APR07:03:00:00	5	420639.4861	6566319.19	f	1193708	3358	33580
26APR07:06:00:00	5	420117.6598	6566423.085	f	1193707	3358	33580
26APR07:09:00:00	5	420049.6141	6566388.402	f	1193706	3358	33580
26APR07:12:00:00	5	420035.2853	6566385.696	f	1193705	3358	33580
26APR07:15:00:00	5	420835.1476	6566105.071	f	1193704	3358	33580
26APR07:18:00:00	5	421590.7749	6566219.814	f	1193703	3358	33580
26APR07:21:00:00	5	421450.4366	6566031.09	f	1193702	3358	33580
27APR07:00:00:00	5	421539.3829	6566010.197	f	1193701	3358	33580
27APR07:03:00:00	5	421312.2284	6566281.748	f	1193700	3358	33580
27APR07:06:00:00	5	421767.7558	6566532.977	f	1193699	3358	33580
27APR07:09:00:00	5	421445.5345	6565870.505	f	1193698	3358	33580
27APR07:12:00:00	5	421890.7702	6565354.4	f	1193697	3358	33580
27APR07:15:00:00	5	421941.8225	6565291.087	f	1193696	3358	33580
27APR07:18:00:00	5	421531.7996	6565238.879	f	1193695	3358	33580
27APR07:21:00:00	5	420547.1575	6564066.595	f	1193694	3358	33580
28APR07:00:00:00	5	420422.5455	6563915.416	f	1193693	3358	33580
